SMILES,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,AromaticRings
CCN(CC)c1ccc2c(c1)C(=C(C#N)C#N)C=CN2,2.8773,3.6769,3.8781,4.4944,4.612,4.6592,5.0979,5.3649,5.4366,5.4729,5.5425,5.6264,5.7602,5.9822,6.0577,1.8387,2.625,3.1217,3.6929,3.8494,4.0381,4.4615,4.6642,4.9247,5.0688,5.1839,5.2121,5.2585,5.3669,5.508,1
N#CC(C#N)=C1C=CNc2ccc(N3CCC3)cc21,2.9595,3.7169,3.8834,4.5244,4.6449,4.6991,5.1468,5.4171,5.4219,5.5152,5.5419,5.734,5.7691,5.9786,6.0789,1.8566,2.7014,3.124,3.7314,3.886,4.0746,4.4972,4.67,4.9262,5.0668,5.2019,5.21,5.2389,5.4034,5.5595,1
N#CC(C#N)=C1C=CNc2ccc(N3CCOCC3)cc21,2.9131,3.6841,3.8789,4.4864,4.53,4.6264,4.6983,5.1186,5.3683,5.4365,5.5167,5.5382,5.6939,5.7572,5.8296,1.8457,2.6595,3.1279,3.7051,3.8617,4.0529,4.4891,4.5133,4.6553,4.921,5.0654,5.1738,5.2079,5.2682,5.4057,1
CCN(CC)c1ccc(-c2ccc3c(c2)C(=C(C#N)C#N)C=CN3)cc1,2.567,3.3803,3.6182,3.9609,4.1563,4.2235,4.3568,4.4721,4.7027,4.7525,4.8511,5.1218,5.1488,5.201,5.2567,1.929,2.4527,2.7987,3.3817,3.4911,3.6134,3.8975,4.0255,4.1139,4.1914,4.3722,4.5327,4.5619,4.6182,4.6881,2
N#CC(C#N)=C1C=CNc2ccc(N3CCNCC3)cc21,2.8741,3.6513,3.7407,3.8702,4.4871,4.6069,4.6796,4.9935,5.1101,5.3541,5.437,5.4798,5.4955,5.6287,5.6497,1.836,2.6314,3.1173,3.6857,3.7141,3.8496,4.0364,4.4769,4.6576,4.9061,5.0088,5.0574,5.1494,5.2054,5.2651,1
N#CC(C#N)=C1C=CNc2ccc(-c3ccc4c(c3)-c3ccccc3S4(=O)=O)cc21,3.1998,3.501,3.6238,3.9631,4.0206,4.0401,4.265,4.3152,4.4384,4.5345,4.5853,4.6607,4.7732,4.7898,4.8943,1.9721,2.7448,3.0805,3.1612,3.5168,3.6257,3.7778,3.8466,3.9176,3.9895,4.0375,4.2434,4.2777,4.3056,4.3704,3
N#CC(C#N)=C1C=CNc2ccc(-c3nc4c5ccccc5c5ccccc5c4[nH]3)cc21,2.5282,3.1921,3.2181,3.5181,3.7736,3.8246,3.9004,3.9356,4.0982,4.2918,4.4176,4.593,4.5959,4.6123,4.6337,1.9335,2.3642,2.6697,2.9641,3.1602,3.3458,3.3946,3.4879,3.5858,3.7232,3.8062,3.8856,3.9056,4.092,4.2138,5
N#CC(C#N)=C1C=CNc2ccc(-c3cnc4c5ccccc5c5ccccc5c4n3)cc21,2.949,3.1838,3.2629,3.5076,3.5173,3.5883,3.6487,3.7829,3.9447,3.9914,4.0272,4.1445,4.1543,4.3319,4.3375,1.9507,2.506,2.8709,2.9543,3.0314,3.1078,3.1473,3.4092,3.4636,3.5098,3.5479,3.6149,3.7388,3.8568,3.9174,5
N#CC(C#N)=C1C=CNc2ccc(-c3ccc(N4CCOCC4)cc3)cc21,2.6419,3.3983,3.645,3.9715,4.2012,4.2754,4.369,4.4997,4.6084,4.7291,4.7742,4.8646,5.1336,5.158,5.2221,1.9386,2.5105,2.8326,3.3915,3.5025,3.6489,3.9282,4.0436,4.1497,4.2213,4.3834,4.5385,4.5635,4.6178,4.6387,2
COc1ccc(N(c2ccc(OC)cc2)c2ccc3c(c2)C(=C(C#N)C#N)C=CN3)cc1,2.4274,3.3722,3.505,3.7379,3.8681,4.1154,4.1226,4.2128,4.2351,4.3105,4.403,4.6204,4.6622,4.7111,4.7526,1.7993,2.3725,2.8562,3.2568,3.4318,3.4923,3.5312,3.6413,3.7768,3.8319,3.8467,4.0741,4.2181,4.3499,4.4723,3
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=C(C#N)C#N)C=CN4)cc2)cc1,2.2886,3.1336,3.357,3.6806,3.784,3.8131,3.8517,3.947,4.1194,4.1556,4.1607,4.2911,4.4188,4.4274,4.5316,1.9155,2.2568,2.6384,3.1835,3.2478,3.2632,3.2813,3.5417,3.6558,3.7065,3.7547,3.7994,3.8249,3.9813,4.0945,4
N#CC(C#N)=C1C=CNc2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,2.4746,3.23,3.4221,3.7845,3.8657,4.0391,4.0843,4.1092,4.1733,4.3195,4.4021,4.4734,4.4949,4.5256,4.5789,1.9409,2.395,2.7119,3.206,3.2113,3.3372,3.4947,3.6566,3.7696,3.9117,3.9373,4.0252,4.0457,4.1188,4.1856,4
Cc1ccc(N(c2ccc(C)cc2)c2ccc3c(c2)C(=C(C#N)C#N)C=CN3)cc1,2.5473,3.4042,3.574,4.0063,4.0947,4.1188,4.1467,4.213,4.3383,4.4595,4.5074,4.5577,4.72,4.7803,4.8655,1.8407,2.4393,2.8627,3.242,3.511,3.5369,3.6486,3.8206,3.9014,4.0356,4.0785,4.1653,4.2939,4.3833,4.4499,3
N#CC(C#N)=C1C=CNc2ccc(-c3ccc(-n4cccc4)cc3)cc21,3.0619,3.1333,3.4688,3.6869,3.8297,4.0939,4.2899,4.3879,4.4922,4.5926,4.6349,4.6431,4.8124,4.8568,4.9632,1.9606,2.803,3.0125,3.1031,3.4162,3.4466,3.5699,3.9407,4.0487,4.1654,4.2313,4.28,4.3145,4.3919,4.5001,3
N#CC(C#N)=C1C=CNc2ccc(-n3cccc3)cc21,2.984,3.1378,3.7034,3.7976,4.0344,4.4697,4.6197,4.7272,4.8229,4.8871,5.157,5.3504,5.3736,5.6363,5.6923,1.9225,2.9275,2.9506,3.0956,3.4363,3.7438,3.9047,4.1528,4.4946,4.6078,4.639,4.6737,4.8305,4.9636,5.0254,2
Cc1ccc(C)n1-c1ccc2c(c1)C(=C(C#N)C#N)C=CN2,2.3035,3.1717,3.3085,3.5445,3.8152,4.0569,4.363,4.5243,4.6815,4.9035,4.9355,4.972,5.1516,5.358,5.6251,1.9539,2.2942,3.0379,3.1111,3.1533,3.6199,3.9015,3.9769,4.1632,4.21,4.4004,4.5761,4.6672,4.7814,4.8782,2
Cc1ccc(C)n1-c1ccc(-c2ccc3c(c2)C(=C(C#N)C#N)C=CN3)cc1,2.4333,3.1142,3.17,3.4369,3.6736,3.9221,4.014,4.0859,4.1092,4.3426,4.4836,4.5812,4.584,4.6912,4.8604,1.9634,2.4291,2.8935,3.0332,3.1051,3.4591,3.5212,3.7919,3.8557,3.9484,4.074,4.1315,4.1861,4.1908,4.3157,3
N#CC(C#N)=C1C=CNc2ccc(N(c3ccc4ccccc4c3)c3ccc4ccccc4c3)cc21,2.5029,3.2945,3.3251,3.4448,3.511,3.5207,3.7342,3.9849,4.0528,4.158,4.1808,4.2345,4.2366,4.2603,4.3859,1.853,2.3736,2.5536,2.6567,2.9523,3.2646,3.2844,3.3994,3.517,3.5751,3.7031,3.7397,3.8458,3.9559,4.0434,5
N#CC(C#N)=C1C=CNc2ccc(-c3ccc4ccccc4c3)cc21,3.1032,3.3988,3.6149,3.8619,3.9581,4.1698,4.341,4.5136,4.5844,4.7848,4.8513,4.8951,4.9246,5.044,5.1833,1.9651,2.5515,3.0075,3.0775,3.4087,3.7049,3.7637,3.9344,4.0259,4.0509,4.1641,4.3968,4.4021,4.5417,4.5821,3
N#CC(C#N)=C1C=CNc2ccc(-c3c4ccccc4cc4ccccc34)cc21,2.6007,3.2056,3.4037,3.4758,3.6361,3.8686,3.8819,3.8917,4.2578,4.3802,4.4793,4.5409,4.7052,4.8209,4.8518,1.7686,1.9675,2.5867,3.1717,3.2814,3.3995,3.4703,3.4887,3.6165,3.7394,3.8616,4.0437,4.1405,4.2724,4.3108,4
N#CC(C#N)=C1C=CNc2ccc(-c3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)cc21,2.5447,3.2738,3.5417,3.8436,3.879,3.9435,3.9806,4.2064,4.2525,4.3712,4.4467,4.5386,4.6163,4.6411,4.6613,1.93,2.3814,2.6951,3.0293,3.4164,3.4921,3.6423,3.7593,3.8653,3.9177,4.0729,4.1192,4.1721,4.1924,4.2892,4
N#CC(C#N)=C1C=CNc2ccc(-c3nc(-c4ccc(F)cc4)c(-c4ccc(F)cc4)[nH]3)cc21,2.6562,3.2599,3.4828,3.7006,3.8633,3.9692,4.0488,4.1098,4.2928,4.403,4.5305,4.5692,4.6705,4.717,4.7624,1.9049,2.4691,2.6478,3.0258,3.3754,3.403,3.6306,3.7123,3.8381,3.9375,4.0682,4.1038,4.1654,4.1861,4.2871,4
N#CC(C#N)=C1C=CNc2ccc(-c3nc(-c4ccc(N)cc4)c(-c4ccc(N)cc4)[nH]3)cc21,2.1329,2.9317,3.0101,3.3925,3.6374,3.7792,3.7869,3.832,3.8624,3.8851,3.9486,4.4267,4.5182,4.522,4.525,1.8356,2.1322,2.4005,2.9149,2.9291,3.1728,3.3785,3.4162,3.448,3.6627,3.7101,3.7823,3.8181,3.8561,4.0552,4
N#CC(C#N)=C1C=CNc2ccc(-c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)cc21,2.7666,3.271,3.4179,3.6902,3.8553,3.8934,4.0267,4.0801,4.1473,4.2368,4.28,4.3133,4.3843,4.404,4.4191,1.9604,2.3546,2.7316,2.9371,3.3035,3.3846,3.4912,3.6187,3.7455,3.8914,3.8995,3.9372,4.0001,4.0495,4.065,5
N#CC(C#N)=C1C=CNc2ccc(-c3ccc(/C(=C\c4ccccc4)c4ccccc4)cc3)cc21,2.858,3.2881,3.5124,3.7065,3.9388,3.9678,3.9981,4.1755,4.2501,4.2577,4.3583,4.4168,4.4418,4.556,4.5726,1.962,2.4021,2.7936,2.9442,3.2879,3.4078,3.6177,3.7586,3.8992,3.9266,4.0075,4.0316,4.0724,4.0879,4.1717,4
N#CC(C#N)=C1C=CNc2ccc(N3C(=S)c4cccc5cccc(c45)C3=S)cc21,1.6578,2.1477,2.2628,2.8974,3.0169,3.124,3.2431,3.5085,3.5196,3.6036,3.6444,3.6932,3.7049,3.7971,3.8301,1.4433,1.6555,1.9452,1.9544,1.9875,2.1248,2.8898,3.0227,3.0835,3.1971,3.3149,3.4009,3.4668,3.5538,3.6086,3
N#CC(C#N)=C1C=CNc2ccc(N3C(=O)c4cccc5cccc(c45)C3=O)cc21,2.7371,3.4048,3.6978,3.769,3.8412,4.0114,4.0286,4.1186,4.2695,4.354,4.3988,4.4652,4.5193,4.559,4.6801,1.9823,2.3224,2.7276,3.1528,3.3649,3.407,3.4214,3.7157,3.8306,3.8802,4.0007,4.0296,4.2358,4.2812,4.3778,3
CCCCN1C(=O)c2cccc3c(-c4ccc5c(c4)C(=C(C#N)C#N)C=CN5)ccc(c23)C1=O,2.9985,3.2473,3.5061,3.6042,3.6078,3.89,3.926,4.0674,4.1802,4.2221,4.236,4.3966,4.4146,4.4297,4.5323,1.9536,2.22,2.9255,3.1027,3.3351,3.3447,3.3706,3.567,3.6107,3.6594,3.8116,4.0198,4.1457,4.2196,4.2368,3
N#CC(C#N)=C1C=CNc2ccc(-c3ccc4c5c(cccc35)C(=O)NC4=O)cc21,2.8871,3.3132,3.5845,3.6033,3.7213,3.8135,4.0261,4.1521,4.3234,4.3832,4.3992,4.4643,4.5237,4.5455,4.619,1.9407,2.2314,2.8793,3.1912,3.298,3.3192,3.3756,3.6302,3.647,3.8436,3.8538,4.0651,4.2203,4.2331,4.3322,3
CCCCN1C(=S)c2cccc3c(-c4ccc5c(c4)C(=C(C#N)C#N)C=CN5)ccc(c23)C1=S,1.7829,2.17,2.3957,2.8162,3.0046,3.0361,3.1749,3.381,3.4365,3.4736,3.5935,3.6496,3.6873,3.7949,3.8273,1.5264,1.5768,1.8344,1.931,1.9721,2.4466,2.9921,3.0127,3.0474,3.1373,3.3104,3.3455,3.355,3.4144,3.4744,3
N#CC(C#N)=C1C=CNc2ccc(-c3ccc4c5c(cccc35)C(=S)NC4=S)cc21,1.9791,2.2537,2.3634,2.887,3.0316,3.2397,3.2533,3.5024,3.535,3.6011,3.6226,3.6323,3.6825,3.8282,3.8725,1.6252,1.7269,1.8205,1.9279,1.9962,2.4067,3.0458,3.0916,3.1692,3.2432,3.3183,3.3845,3.4962,3.5111,3.5707,3
N#CC(C#N)=C1C=CNc2ccc(-c3ccc(/C=C/c4cccs4)s3)cc21,2.5417,2.9243,3.3245,3.5436,3.6877,3.969,4.1758,4.1928,4.2597,4.2965,4.4969,4.5957,4.6069,4.6634,4.68,1.6077,1.9212,2.5058,2.6372,3.2093,3.3562,3.43,3.6958,3.7865,3.8068,3.953,3.9938,4.0584,4.3546,4.3727,3
N#CC(C#N)=C1C=CNc2ccc(N3c4ccccc4Sc4ccccc43)cc21,2.2534,3.2,3.2228,3.4048,3.7765,3.853,4.0046,4.0552,4.0866,4.214,4.2639,4.3976,4.4748,4.6582,4.8517,1.9487,2.2314,3.0141,3.1838,3.1989,3.3159,3.4395,3.5001,3.6986,3.884,3.8981,3.9348,4.0376,4.1278,4.1613,3
N#CC(C#N)=C1C=CNc2ccc(-c3ccc(N4c5ccccc5Sc5ccccc54)cc3)cc21,2.2569,2.8969,3.2526,3.318,3.6012,3.656,3.8026,3.9297,3.9401,4.0152,4.1126,4.1678,4.1994,4.3017,4.4046,1.9643,2.2561,2.866,2.9238,3.0655,3.1866,3.3176,3.496,3.56,3.6576,3.6718,3.7984,3.8294,3.9167,4.0042,4
N#CC(C#N)=C1C=CNc2ccc(-c3ccc(N4c5ccccc5Sc5ccccc54)o3)cc21,2.6355,3.0137,3.2525,3.4829,3.5867,3.7408,3.959,4.1818,4.2222,4.3174,4.3323,4.3724,4.3857,4.439,4.5505,1.9329,2.5383,2.6333,2.9005,3.1401,3.3337,3.4382,3.5208,3.5851,3.692,3.8011,3.9303,3.9927,4.1569,4.2392,4
